NPs,Coating,Core_size,Shape,Dose,Class,Family,Species,Duration,ZOI
AgNPs,Coated,7.5,Spherical,200,Bacilli,Staphylococcaceae,S. aureus,24,36
AgNPs,Coated,7.5,Spherical,200,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,24,24
AgNPs,Coated,16,Spherical,200,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,10
AgNPs,Coated,16,Spherical,500,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,11
AgNPs,Coated,16,Spherical,700,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,11
AgNPs,Coated,16,Spherical,1000,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,11
AgNPs,Coated,16,Spherical,2000,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,13
AgNPs,Coated,16,Spherical,200,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,24,9
AgNPs,Coated,16,Spherical,500,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,24,10
AgNPs,Coated,16,Spherical,700,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,24,11
AgNPs,Coated,16,Spherical,1000,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,24,12
AgNPs,Coated,16,Spherical,2000,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,24,12
AgNPs,Coated,16,Spherical,200,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,24,12
AgNPs,Coated,16,Spherical,500,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,24,13
AgNPs,Coated,16,Spherical,700,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,24,13
AgNPs,Coated,16,Spherical,1000,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,24,14
AgNPs,Coated,16,Spherical,2000,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,24,15
AgNPs,Coated,16,Spherical,200,Bacilli,Listeriaceae,L. monocytogenes,24,9
AgNPs,Coated,16,Spherical,500,Bacilli,Listeriaceae,L. monocytogenes,24,9
AgNPs,Coated,16,Spherical,700,Bacilli,Listeriaceae,L. monocytogenes,24,9
AgNPs,Coated,16,Spherical,1000,Bacilli,Listeriaceae,L. monocytogenes,24,10
AgNPs,Coated,16,Spherical,2000,Bacilli,Listeriaceae,L. monocytogenes,24,10
