NPs,Coating,Core_size,Shape,Dose,Class,Family,Species,Duration,ZOI
Fe3O4,Uncoated,98,Spherical,6000,Gammaproteobacteria,Yersiniaceae,S. marcescens,24,15
Fe3O4,Uncoated,NA,Spherical,8000,Gammaproteobacteria,Yersiniaceae,S. marcescens,24,29
Fe3O4,Uncoated,76,Spherical,2000,Bacilli,Staphylococcaceae,S. aureus,24,32
Fe3O4,Uncoated,95.05,Spherical,4000,Bacilli,Staphylococcaceae,S. aureus,24,27
Fe3O4,Uncoated,98,Spherical,6000,Bacilli,Staphylococcaceae,S. aureus,24,30
Fe3O4,Uncoated,NA,Spherical,8000,Bacilli,Staphylococcaceae,S. aureus,24,20
ZNO,Uncoated,3.9,Spherical,4,Gammaproteobacteria,Xanthomonadaceae,X. oryzae,24,2.5
ZNO,Uncoated,3.9,Spherical,8,Gammaproteobacteria,Xanthomonadaceae,X. oryzae,24,2.5
ZNO,Uncoated,3.9,Spherical,16,Gammaproteobacteria,Xanthomonadaceae,X. oryzae,24,17
ZNO,Coated,3.9,Spherical,4,Gammaproteobacteria,Xanthomonadaceae,X. oryzae,24,2
ZNO,Coated,3.9,Spherical,8,Gammaproteobacteria,Xanthomonadaceae,X. oryzae,24,2.3
ZNO,Coated,3.9,Spherical,16,Gammaproteobacteria,Xanthomonadaceae,X. oryzae,24,2.4
ZNO,Uncoated,12,Spherical,500,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,20
ZNO,Uncoated,12,Spherical,500,Bacilli,Staphylococcaceae,S. aureus,24,18
ZNO,Uncoated,34,Spherical,25,Bacilli,Bacillaceae,B. cereus,36,26
ZNO,Uncoated,34,Spherical,50,Bacilli,Bacillaceae,B. cereus,36,30
ZNO,Uncoated,34,Spherical,75,Bacilli,Bacillaceae,B. cereus,36,35
ZNO,Uncoated,34,Spherical,100,Bacilli,Bacillaceae,B. cereus,36,41
ZNO,Uncoated,34,Spherical,25,Bacilli,Staphylococcaceae,S. aureus,36,22
ZNO,Uncoated,34,Spherical,50,Bacilli,Staphylococcaceae,S. aureus,36,25
ZNO,Uncoated,34,Spherical,75,Bacilli,Staphylococcaceae,S. aureus,36,30
ZNO,Uncoated,34,Spherical,100,Bacilli,Staphylococcaceae,S. aureus,36,36
ZNO,Uncoated,34,Spherical,25,Gammaproteobacteria,Enterobacteriaceae,S. dysenteriae,36,35
ZNO,Uncoated,34,Spherical,50,Gammaproteobacteria,Enterobacteriaceae,S. dysenteriae,36,38
ZNO,Uncoated,34,Spherical,75,Gammaproteobacteria,Enterobacteriaceae,S. dysenteriae,36,40
ZNO,Uncoated,34,Spherical,100,Gammaproteobacteria,Enterobacteriaceae,S. dysenteriae,36,42
ZNO,Uncoated,34,Spherical,25,Gammaproteobacteria,Enterobacteriaceae,S. paratyphi,36,25
ZNO,Uncoated,34,Spherical,50,Gammaproteobacteria,Enterobacteriaceae,S. paratyphi,36,30
ZNO,Uncoated,34,Spherical,75,Gammaproteobacteria,Enterobacteriaceae,S. paratyphi,36,37
ZNO,Uncoated,34,Spherical,100,Gammaproteobacteria,Enterobacteriaceae,S. paratyphi,36,40
ZNO,Uncoated,34,Spherical,25,Saccharomycetes,Saccharomycetaceae,C. albicans,84,20
ZNO,Uncoated,34,Spherical,50,Saccharomycetes,Saccharomycetaceae,C. albicans,84,22
ZNO,Uncoated,34,Spherical,75,Saccharomycetes,Saccharomycetaceae,C. albicans,84,25
ZNO,Uncoated,34,Spherical,100,Saccharomycetes,Saccharomycetaceae,C. albicans,84,34
ZNO,Uncoated,34,Spherical,25,Eurotiomycetes,Trichocomaceae,A. niger,84,20
ZNO,Uncoated,34,Spherical,50,Eurotiomycetes,Trichocomaceae,A. niger,84,23
ZNO,Uncoated,34,Spherical,75,Eurotiomycetes,Trichocomaceae,A. niger,84,26
ZNO,Uncoated,34,Spherical,100,Eurotiomycetes,Trichocomaceae,A. niger,84,30
ZNO,Uncoated,40,Spherical,NA,Bacilli,Staphylococcaceae,S. aureus,36,22
ZNO,Uncoated,40,Spherical,NA,Bacilli,Bacillaceae,B. subtilis,36,16
ZNO,Uncoated,40,Spherical,NA,Gammaproteobacteria,Morganellaceae,P. vulgaris,36,17
ZNO,Uncoated,40,Spherical,NA,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,36,19
ZNO,Uncoated,40,Spherical,NA,Saccharomycetes,Saccharomycetaceae,C. albicans,84,18
ZNO,Uncoated,40,Spherical,NA,Eurotiomycetes,Trichocomaceae,A. niger,84,17
ZNO,Uncoated,30,Hexagonal,NA,Bacilli,Bacillaceae,B. subtilis,36,20
ZNO,Uncoated,30,Hexagonal,NA,Bacilli,Bacillaceae,B. cereus,36,21
ZNO,Uncoated,30,Hexagonal,NA,Bacilli,Staphylococcaceae,S. aureus,36,28
ZNO,Uncoated,30,Hexagonal,NA,Gammaproteobacteria,Enterobacteriaceae,E. coli,36,23
ZNO,Uncoated,30,Hexagonal,NA,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,36,22
ZNO,Uncoated,30,Hexagonal,NA,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,36,19
ZNO,Uncoated,30,Hexagonal,NA,Saccharomycetes,Saccharomycetaceae,C. albicans,84,24
ZNO,Uncoated,30,Hexagonal,NA,Eurotiomycetes,Trichocomaceae,A. niger,84,18
ZNO,Uncoated,42.5,Spherical,NA,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,20
ZNO,Uncoated,42.5,Spherical,NA,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,21
ZNO,Uncoated,42.5,Spherical,NA,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,23
ZNO,Coated,90,Spherical,20,Bacilli,Staphylococcaceae,S. aureus,24,16
ZNO,Coated,90,Spherical,20,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,14
ZNO,Uncoated,20,Spherical,625,Bacilli,Staphylococcaceae,S. aureus,24,16
ZNO,Uncoated,NA,Spherical,80,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,14
ZNO,Uncoated,30.5,Spherical,NA,Bacilli,Staphylococcaceae,S. aureus,36,10
ZNO,Uncoated,30.5,Spherical,NA,Bacilli,Bacillaceae,B. subtilis,36,10
ZNO,Uncoated,30.5,Spherical,NA,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,36,14
ZNO,Uncoated,30.5,Spherical,NA,Gammaproteobacteria,Enterobacteriaceae,E. coli,36,20
ZNO,Uncoated,30.5,Spherical,NA,Gammaproteobacteria,Enterobacteriaceae,E. aerogenes,36,36
ZNO,Uncoated,65,NA,1280,Bacilli,Staphylococcaceae,S. aureus,18,30
ZNO,Uncoated,65,NA,516,Bacilli,Staphylococcaceae,S. aureus,18,26
ZNO,Uncoated,65,NA,256,Bacilli,Staphylococcaceae,S. aureus,18,22
ZNO,Uncoated,65,NA,125,Bacilli,Staphylococcaceae,S. aureus,18,31
ZNO,Uncoated,65,NA,1028,Bacilli,Staphylococcaceae,S. aureus,18,31
ZNO,Uncoated,65,NA,1280,Gammaproteobacteria,Enterobacteriaceae,E. coli,18,29
ZNO,Uncoated,65,NA,516,Gammaproteobacteria,Enterobacteriaceae,E. coli,18,26
ZNO,Uncoated,65,NA,256,Gammaproteobacteria,Enterobacteriaceae,E. coli,18,22
ZNO,Uncoated,65,NA,125,Gammaproteobacteria,Enterobacteriaceae,E. coli,18,31
ZNO,Uncoated,65,NA,1028,Gammaproteobacteria,Enterobacteriaceae,E. coli,18,28
ZNO,Uncoated,65,NA,1280,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,18,24
ZNO,Uncoated,65,NA,516,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,18,26
ZNO,Uncoated,65,NA,256,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,18,21
ZNO,Uncoated,65,NA,125,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,18,23
ZNO,Uncoated,65,NA,1028,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,18,31
ZNO,Uncoated,65,NA,1280,Bacilli,Staphylococcaceae,S. aureus,18,24
ZNO,Uncoated,65,NA,516,Bacilli,Staphylococcaceae,S. aureus,18,27
ZNO,Uncoated,65,NA,256,Bacilli,Staphylococcaceae,S. aureus,18,28
ZNO,Uncoated,65,NA,125,Bacilli,Staphylococcaceae,S. aureus,18,31
ZNO,Uncoated,65,NA,1028,Bacilli,Staphylococcaceae,S. aureus,18,29
ZNO,Uncoated,65,NA,1280,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,18,26
ZNO,Uncoated,65,NA,516,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,18,20
ZNO,Uncoated,65,NA,256,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,18,14
ZNO,Uncoated,65,NA,125,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,18,21
ZNO,Uncoated,65,NA,1028,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,18,20
ZNO,Coated,27.5,Spherical,2000,Bacilli,Bacillaceae,B. subtilis,24,19
ZNO,Coated,27.5,Spherical,1000,Bacilli,Bacillaceae,B. subtilis,24,17
ZNO,Coated,27.5,Spherical,500,Bacilli,Bacillaceae,B. subtilis,24,12
ZNO,Coated,27.5,Spherical,250,Bacilli,Bacillaceae,B. subtilis,24,19
ZNO,Coated,27.5,Spherical,2000,Bacilli,Staphylococcaceae,S. aureus,24,16
ZNO,Coated,27.5,Spherical,1000,Bacilli,Staphylococcaceae,S. aureus,24,13
ZNO,Coated,27.5,Spherical,500,Bacilli,Staphylococcaceae,S. aureus,24,11
ZNO,Coated,27.5,Spherical,250,Bacilli,Staphylococcaceae,S. aureus,24,14
ZNO,Coated,27.5,Spherical,2000,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,13
ZNO,Coated,27.5,Spherical,1000,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,10
ZNO,Coated,27.5,Spherical,500,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,0
ZNO,Coated,27.5,Spherical,250,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,14
ZNO,Coated,27.5,Spherical,2000,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,24,13
ZNO,Coated,27.5,Spherical,1000,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,24,10
ZNO,Coated,27.5,Spherical,500,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,24,0
ZNO,Coated,100,Hexagonal,10000,Bacilli,Staphylococcaceae,S. aureus,24,2
ZNO,Coated,100,Hexagonal,20000,Bacilli,Staphylococcaceae,S. aureus,24,2.2
ZNO,Coated,100,Hexagonal,30000,Bacilli,Staphylococcaceae,S. aureus,24,2.2
ZNO,Coated,100,Hexagonal,40000,Bacilli,Staphylococcaceae,S. aureus,24,2.3
ZNO,Coated,100,Hexagonal,50000,Bacilli,Staphylococcaceae,S. aureus,24,1.4
ZNO,Coated,100,Hexagonal,10000,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,1.6
ZNO,Coated,100,Hexagonal,20000,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,1.7
ZNO,Coated,100,Hexagonal,30000,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,1.8
ZNO,Coated,100,Hexagonal,40000,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,2
ZNO,Coated,100,Hexagonal,50000,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,1.2
ZNO,Coated,100,Hexagonal,10000,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,24,1.5
ZNO,Coated,100,Hexagonal,20000,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,24,1.7
ZNO,Coated,100,Hexagonal,30000,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,24,2
ZNO,Coated,100,Hexagonal,40000,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,24,2.5
ZNO,Coated,100,Hexagonal,50000,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,24,0
ZNO,Uncoated,41,Hexagonal,10000,Bacilli,Staphylococcaceae,S. aureus,24,1
ZNO,Uncoated,41,Hexagonal,20000,Bacilli,Staphylococcaceae,S. aureus,24,2
ZNO,Uncoated,41,Hexagonal,30000,Bacilli,Staphylococcaceae,S. aureus,24,3
ZNO,Uncoated,41,Hexagonal,40000,Bacilli,Staphylococcaceae,S. aureus,24,4
ZNO,Uncoated,41,Hexagonal,50000,Bacilli,Staphylococcaceae,S. aureus,24,0
ZNO,Uncoated,41,Hexagonal,10000,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,1
ZNO,Uncoated,41,Hexagonal,20000,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,1
ZNO,Uncoated,41,Hexagonal,30000,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,1.3
ZNO,Uncoated,41,Hexagonal,40000,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,1.5
ZNO,Uncoated,41,Hexagonal,50000,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,1.4
ZNO,Uncoated,41,Hexagonal,10000,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,24,1.5
ZNO,Uncoated,41,Hexagonal,20000,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,24,1.6
ZNO,Uncoated,41,Hexagonal,30000,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,24,1.6
ZNO,Uncoated,41,Hexagonal,40000,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,24,1.7
ZNO,Uncoated,41,Hexagonal,NA,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,24,12
ZNO,Uncoated,NA,NA,100,Bacilli,Staphylococcaceae,S. aureus,17,14.5
ZNO,Uncoated,NA,NA,200,Bacilli,Staphylococcaceae,S. aureus,17,16
ZNO,Uncoated,NA,NA,500,Bacilli,Staphylococcaceae,S. aureus,17,14
ZNO,Uncoated,NA,NA,100,Bacilli,Staphylococcaceae,S. aureus,17,16
ZNO,Uncoated,NA,NA,200,Bacilli,Staphylococcaceae,S. aureus,17,17
ZNO,Coated,100,Rod,NA,Bacilli,Bacillaceae,B. subtilis,17,7
ZNO,Coated,100,Rod,NA,Gammaproteobacteria,Enterobacteriaceae,E. coli,17,7
ZNO,Coated,100,Rod,NA,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,17,8
ZNO,Coated,100,Rod,NA,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,17,7.6
ZNO,Coated,100,Rod,NA,Gammaproteobacteria,Enterobacteriaceae,S. typhi,17,7.3
ZNO,Coated,100,Rod,NA,Bacilli,Staphylococcaceae,S. aureus,17,4.5
ZNO,Coated,100,Rod,NA,Bacilli,Bacillaceae,B. subtilis,17,14.2
ZNO,Coated,100,Rod,NA,Gammaproteobacteria,Enterobacteriaceae,E. coli,17,14.2
ZNO,Coated,100,Rod,NA,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,17,14.2
ZNO,Coated,100,Rod,NA,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,17,15.9
ZNO,Coated,100,Rod,NA,Gammaproteobacteria,Enterobacteriaceae,S. typhi,17,14.2
ZNO,Coated,100,Rod,NA,Bacilli,Staphylococcaceae,S. aureus,17,14.2
ZNO,Uncoated,100,Spherical,NA,Bacilli,Bacillaceae,B. subtilis,17,12
ZNO,Uncoated,100,Spherical,NA,Gammaproteobacteria,Enterobacteriaceae,E. coli,17,14
ZNO,Uncoated,100,Spherical,NA,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,17,16
ZNO,Uncoated,100,Spherical,NA,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,17,19
ZNO,Uncoated,100,Spherical,NA,Gammaproteobacteria,Enterobacteriaceae,S. typhi,17,15
ZNO,Uncoated,100,Spherical,NA,Bacilli,Staphylococcaceae,S. aureus,17,11
