Process,Steps,External_energy,Temp_Celcius,Stirring,Synthesis_Duration_h,Scale_synthesis_ml,Precurcor_conc_mM,NEW_Capping agent,NEW_capping agent_Class,NEW_reducing agent,NEW_reducing agent_class,Capping agent concentration_mg/mL,Reducing agent quantity mL,Order of reagent_CODE,treatment,UVVIs PEAKS nm,shape,core size (nm),Method of determination_size,exposure dose concentration mg/mL,Exposure duration  (h),bacterial  Culture medium,bacterial  Species,Bacteria reduction mm
phytosynthesis,single,No,25,Stirring,3.5,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.125,24,MuellerHinton,Staphylococcus,10.32
biosynthesis,single,No,25,No,48,?,1,Bacterial extract,organic,Bacterial extract,organic,250,?,BA,dried,400,Square_spherical,18,TEM,0.5,24,LuriaBertani,Acinetobacter,18.18
phytosynthesis,single,No,25,No,4,?,7,plant,organic,plant,organic,91,?,BA,no,430,spherical,25,SEM,0.09,?,MuellerHinton,Enterococcus,10.3
phytosynthesis,single,No,25,Stirring,3,?,1,plant,organic,plant,organic,100,?,AB,no,450,?,48,SEM,10,24,MuellerHinton,Staphylococcus,18.2
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.5,24,MuellerHinton,Escherichia coli,9.91
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,1,24,MuellerHinton,Listeria monocytogenes,12.38
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.5,24,MuellerHinton,Salmonella,10.78
biosynthesis,single,Heating,60,Shaker,4,11,5,plant,organic,plant,organic,10,1,AB,washed,430,spherical,56,SEM,0.5,24,Agar,Acinetobacter,20.87
biosynthesis,single,No,25,No,48,?,4,Bacterial extract,organic,Bacterial extract,organic,250,?,BA,dried,?,?,?,?,0.5,24,LuriaBertani,Klebsiella,15.23
biosynthesis,single,No,25,No,48,?,1,Bacterial extract,organic,Bacterial extract,organic,250,?,BA,dried,400,Square_spherical,18,TEM,0.5,24,LuriaBertani,Pseudomonas,19.25
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.125,24,MuellerHinton,Escherichia coli,9.27
biosynthesis,single,No,25,No,48,?,4,Bacterial extract,organic,Bacterial extract,organic,250,?,BA,dried,?,?,?,?,0.5,24,LuriaBertani,Pseudomonas,22.28
phytosynthesis,single,Heating,60,Magnetic,48,200,10,algae extract,organic,algae extract,organic,100,20,AB,washing_dried,445,spherical;oval,40.45,SEM,0.5,24,MuellerHinton,Staphylococcus,11.46
phytosynthesis,single,Heating,60,Magnetic,48,200,10,algae extract,organic,algae extract,organic,100,20,AB,washing_dried,445,spherical;oval,40.45,SEM,0.5,24,MuellerHinton,Bacillus,8.46
phytosynthesis,single,Heating,60,Magnetic,48,200,10,algae extract,organic,algae extract,organic,100,20,AB,washing_dried,445,spherical;oval,40.45,SEM,0.25,24,MuellerHinton,Pseudomonas,8.62
phytosynthesis,single,Heating,60,Magnetic,48,200,10,algae extract,organic,algae extract,organic,100,20,AB,washing_dried,445,spherical;oval,40.45,SEM,0.5,24,MuellerHinton,Escherichia coli,9.46
phytosynthesis,single,Heating,60,Magnetic,48,200,10,algae extract,organic,algae extract,organic,100,20,AB,washing_dried,445,spherical;oval,40.45,SEM,0.75,24,MuellerHinton,Escherichia coli,11.46
micosynthesis,single,No,25,No,24,100,1,fungal extract,organic,fungal extract,organic,?,100,BA,no,440,?,?,?,?,24,Agar,Salmonella,12.29
phytosynthesis,single,No,24,No,2.5,?,1,plant,organic,plant,organic,100,?,BA,washing_dried,430,spherical,17.4,TEM,0.5,24,MuellerHinton,Staphylococcus,8.7
phytosynthesis,single,No,25,No,4,?,7,plant,organic,plant,organic,91,?,BA,no,430,spherical,25,SEM,0.045,?,MuellerHinton,Enterococcus,10.2
phytosynthesis,single,No,25,No,4,?,7,plant,organic,plant,organic,91,?,BA,no,430,spherical,25,SEM,0.0225,?,MuellerHinton,Enterococcus,7.3
phytosynthesis,single,No,25,No,4,?,7,plant,organic,plant,organic,91,?,BA,no,430,spherical,25,SEM,0.18,?,MuellerHinton,Enterococcus,11.5
phytosynthesis,single,No,25,No,4,?,7,plant,organic,plant,organic,91,?,BA,no,430,spherical,25,SEM,0.09,?,MuellerHinton,Pseudomonas,13.4
phytosynthesis,single,No,25,No,4,?,7,plant,organic,plant,organic,91,?,BA,no,430,spherical,25,SEM,0.0225,?,MuellerHinton,Pseudomonas,9
phytosynthesis,single,No,25,No,4,?,7,plant,organic,plant,organic,91,?,BA,no,430,spherical,25,SEM,0.0225,?,MuellerHinton,Acinetobacter,12.5
wet chemical,single,No,25,Stirring,24,?,1.1,chemical,organic,chemical,organic,?,?,BCA,filtered,405,spherical,14,TEM,0.11272,24,?,Pseudomonas,11.3
wet chemical,single,No,25,Stirring,24,?,6,chemical,organic,chemical,organic,0.08,?,BCA,filtered,418,spherical,24,TEM,0.62133,24,?,Staphylococcus,40.3
phytosynthesis,single,No,25,Stirring,12,10,1.5,plant,organic,plant,organic,100,1,AB,no,420,spherical,27.17,TEM,0.15,24,?,Escherichia coli,28.01
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.25,24,MuellerHinton,Escherichia coli,9.53
phytosynthesis,single,No,25,Stirring,12,10,1.5,plant,organic,plant,organic,100,1,AB,no,420,spherical,27.17,TEM,0.15,24,?,Staphylococcus,13.74
biosynthesis,single,No,25,No,48,?,1,Bacterial extract,organic,Bacterial extract,organic,250,?,BA,dried,?,?,?,?,0.5,24,LuriaBertani,Klebsiella,14.34
biosynthesis,single,Heating,60,Shaker,4,11,5,plant,organic,plant,organic,10,1,AB,washed,430,spherical,56,SEM,0.5,24,Agar,Streptococcus,15.46
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.031,24,MuellerHinton,Escherichia coli,8.85
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,1,24,MuellerHinton,Escherichia coli,10.56
phytosynthesis,single,No,25,Stirring,12,10,1.5,plant,organic,plant,organic,100,1,AB,no,420,spherical,27.17,TEM,0.15,24,?,Staphylococcus,17.89
phytosynthesis,single,No,25,No,4,?,7,plant,organic,plant,organic,91,?,BA,no,430,spherical,25,SEM,0.045,?,MuellerHinton,Enterococcus,9.6
phytosynthesis,single,No,25,No,4,?,7,plant,organic,plant,organic,91,?,BA,no,430,spherical,25,SEM,0.0225,?,MuellerHinton,Pseudomonas,13.2
wet chemical,single,No,25,Stirring,24,?,1.1,chemical,organic,chemical,organic,?,?,BCA,filtered,406,spherical,9,TEM,0.11628,24,?,Staphylococcus,12.4
